iteration,cost,wirecount,intersectioncount
0,2288281,9481,7596
1,2281359,9459,7573
2,2267211,9411,7526
3,2247947,9347,7462
4,2246141,9341,7456
5,2234101,9301,7416
6,2232295,9295,7410
7,2231693,9293,7408
8,2228081,9281,7396
9,2223265,9265,7380
10,2222361,9261,7377
11,2215137,9237,7353
12,2208515,9215,7331
13,2206709,9209,7325
14,2203699,9199,7315
15,2202495,9195,7311
16,2201893,9193,7309
17,2178111,9111,7230
18,2170587,9087,7205
19,2137777,8977,7096
20,2126941,8941,7060
21,2126339,8939,7058
22,2123931,8931,7050
23,2123329,8929,7048
24,2122125,8925,7044
25,2121523,8923,7042
26,2097743,8843,6963
27,2059215,8715,6835
28,2055001,8701,6821
29,2051089,8689,6808
30,2010755,8555,6674
31,2000821,8521,6641
32,1998413,8513,6633
33,1997811,8511,6631
34,1994199,8499,6619
35,1993597,8497,6617
36,1992995,8495,6615
37,1988179,8479,6599
38,1987577,8477,6597
39,1986975,8475,6595
40,1980353,8453,6573
41,1975537,8437,6557
42,1965905,8405,6525
43,1961089,8389,6509
44,1938815,8315,6435
45,1937611,8311,6431
46,1937009,8309,6429
47,1876809,8109,6229
48,1858743,8043,6169
49,1846703,8003,6129
50,1846101,8001,6127
51,1842489,7989,6115
52,1835265,7965,6091
53,1832857,7957,6083
54,1832255,7955,6081
55,1831653,7953,6079
56,1831051,7951,6077
57,1826837,7937,6063
58,1825031,7931,6057
59,1822021,7921,6047
60,1819011,7911,6037
61,1817807,7907,6033
62,1763025,7725,5851
63,1741653,7653,5780
64,1737439,7639,5766
65,1736235,7635,5762
66,1735633,7633,5760
67,1735031,7631,5758
68,1709447,7547,5673
69,1704329,7529,5656
70,1701921,7521,5648
71,1701319,7519,5646
72,1621251,7251,5380
73,1620649,7249,5378
74,1612517,7217,5351
75,1596263,7163,5297
76,1587835,7135,5269
77,1587233,7133,5267
78,1586631,7131,5265
79,1498727,6827,4973
80,1492105,6805,4951
81,1488493,6793,4939
82,1487289,6789,4935
83,1486687,6787,4933
84,1486085,6785,4931
85,1404801,6501,4661
86,1390353,6453,4613
87,1337975,6275,4439
88,1332859,6259,4422
89,1331955,6255,4419
90,1331353,6253,4417
91,1328945,6245,4409
92,1273557,6057,4225
93,1268741,6041,4209
94,1265129,6029,4197
95,1264527,6027,4195
96,1263323,6023,4191
97,1262721,6021,4189
98,1262119,6019,4187
99,1255195,5995,4164
100,1252787,5987,4156
101,1210635,5835,4016
102,1156151,5651,3835
103,1113401,5501,3693
104,1104973,5473,3665
105,1103167,5467,3659
106,1053783,5283,3495
107,1048063,5263,3476
108,1046559,5259,3471
109,1041441,5241,3454
110,1040539,5239,3451
111,1038431,5231,3444
112,1037227,5227,3440
113,977611,5011,3242
114,976107,5007,3237
115,972795,4995,3226
116,971591,4991,3222
117,948389,4889,3145
118,901727,4727,2990
119,894503,4703,2966
120,892095,4695,2958
121,891493,4693,2956
122,890289,4689,2952
123,889687,4687,2950
124,881561,4661,2923
125,872223,4623,2892
126,865299,4599,2869
127,864697,4597,2867
128,863193,4593,2862
129,862891,4591,2861
130,718011,4011,2380
131,708371,3971,2348
132,703557,3957,2332
133,703255,3955,2331
134,699943,3943,2320
135,696331,3931,2308
136,694525,3925,2302
137,693923,3923,2300
138,681569,3869,2259
139,630973,3673,2091
140,626155,3655,2075
141,625255,3655,2072
142,621339,3639,2059
143,583085,3485,1932
144,581593,3493,1927
145,579775,3475,1921
146,577965,3465,1915
147,576461,3461,1910
148,576157,3457,1909
149,574957,3457,1905
150,574059,3459,1902
151,566223,3423,1876
152,557795,3395,1848
153,557193,3393,1846
154,556591,3391,1844
155,470099,2999,1557
156,468299,2999,1551
157,443879,2879,1470
158,441783,2883,1463
159,436949,2849,1447
160,434827,2827,1440
161,428809,2809,1420
162,428203,2803,1418
163,427601,2801,1416
164,427003,2803,1414
165,424289,2789,1405
166,423385,2785,1402
167,423087,2787,1401
168,406831,2731,1347
169,378761,2561,1254
170,359157,2457,1189
171,358253,2453,1186
172,351613,2413,1164
173,351013,2413,1162
174,349807,2407,1158
175,348903,2403,1155
176,347999,2399,1152
177,346193,2393,1146
178,345591,2391,1144
179,344989,2389,1142
