iteration,cost,wirecount,intersectioncount
269,607547,3947,2012
270,603935,3935,2000
271,603333,3933,1998
272,602731,3931,1996
273,589181,3881,1951
274,586481,3881,1942
275,585575,3875,1939
276,581945,3845,1927
277,529239,3639,1752
278,523819,3619,1734
279,523217,3617,1732
280,507245,3545,1679
281,505133,3533,1672
282,503641,3541,1667
283,503029,3529,1665
284,481317,3417,1593
285,469567,3367,1554
286,466261,3361,1543
287,465953,3353,1542
288,465653,3353,1541
289,464149,3349,1536
290,463843,3343,1535
291,463549,3349,1534
292,462937,3337,1532
293,462359,3359,1530
294,460823,3323,1525
295,459935,3335,1522
296,457811,3311,1515
297,446067,3267,1476
298,443655,3255,1468
299,429489,3189,1421
300,428885,3185,1419
301,428883,3183,1419
302,427677,3177,1415
303,427077,3177,1413
304,424971,3171,1406
305,424669,3169,1405
306,419551,3151,1388
307,407367,2967,1348
308,404349,2949,1338
309,404071,2971,1337
310,400763,2963,1326
311,399539,2939,1322
312,398321,2921,1318
313,397481,2981,1315
314,396497,2897,1312
315,394719,2919,1306
316,393239,2939,1301
317,392037,2937,1297
318,390515,2915,1292
319,381113,2813,1261
320,372669,2769,1233
321,371163,2763,1228
322,369655,2755,1223
323,366043,2743,1211
324,306005,2405,1012
325,304201,2401,1006
326,296029,2329,979
327,289119,2319,956
328,286749,2349,948
329,284583,2283,941
330,280971,2271,929
331,278561,2261,921
332,273735,2235,905
333,273133,2233,903
334,272531,2231,901
335,233253,1953,771
336,230101,1801,761
337,229905,1905,760
338,223163,1763,738
339,218333,1733,722
340,217741,1741,720
341,217439,1739,719
342,217127,1727,718
343,216227,1727,715
344,198149,1649,655
345,172969,1369,572
346,168997,1297,559
347,163823,1223,542
348,162049,1249,536
349,160873,1273,532
350,160549,1249,531
351,160525,1225,531
352,159029,1229,526
353,158145,1245,523
354,156983,1283,519
355,154897,1297,512
356,153367,1267,507
357,151629,1329,501
358,151339,1339,500
359,151033,1333,499
360,150735,1335,498
361,150147,1347,496
362,150135,1335,496
363,148707,1407,491
364,148081,1381,489
365,147827,1427,488
366,146953,1453,485
367,146935,1435,485
368,146339,1439,483
369,146335,1435,483
370,146075,1475,482
371,144855,1455,478
372,144555,1455,477
373,144265,1465,476
374,142771,1471,471
375,139517,1517,460
376,138317,1517,456
377,138037,1537,455
378,137737,1537,454
379,137449,1549,453
380,137149,1549,452
381,136549,1549,450
382,135957,1557,448
383,135395,1595,446
384,135099,1599,445
385,135093,1593,445
386,133607,1607,440
387,133325,1625,439
388,129743,1643,427
