iteration,cost,wirecount,intersectioncount
353,59030,530,195
354,14006,206,46
355,53576,476,177
356,44534,434,147
357,30364,364,100
358,87634,634,290
359,47840,440,158
360,36428,428,120
361,16454,254,54
362,19502,302,64
363,51490,490,170
364,33442,442,110
365,55420,520,183
366,17384,284,57
367,4932,132,16
368,31586,386,104
369,53314,514,176
370,8842,142,29
371,41230,430,136
372,14970,270,49
373,61746,546,204
374,25518,318,84
375,11368,268,37
376,21236,236,70
377,51804,504,171
378,37670,470,124
379,65676,576,217
380,22494,294,74
381,57218,518,189
382,20032,232,66
383,11892,192,39
384,73156,556,242
385,38228,428,126
386,10136,236,33
387,41858,458,138
388,40056,456,132
389,27986,386,92
390,12198,198,40
391,37950,450,125
392,10972,172,36
393,28278,378,93
394,3404,104,11
395,27868,268,92
396,18008,308,59
397,58094,494,192
398,47896,496,158
399,28604,404,94
400,4066,166,13
401,35774,374,118
402,44544,444,147
403,4976,176,16
404,75312,612,249
405,6196,196,20
406,24664,364,81
407,41846,446,138
408,25602,402,84
409,17068,268,56
410,42744,444,141
411,21592,292,71
412,14652,252,48
413,70478,578,233
414,30944,344,102
415,16128,228,53
416,16796,296,55
417,72000,600,238
418,16782,282,55
419,16152,252,53
420,25880,380,85
421,18278,278,60
422,34882,382,115
423,13108,208,43
424,19174,274,63
425,37296,396,123
426,65674,574,217
427,45144,444,149
428,25566,366,84
429,50618,518,167
430,42480,480,140
431,23472,372,77
432,11898,198,39
433,40348,448,133
434,15864,264,52
435,11014,214,36
436,20998,298,69
437,8940,240,29
438,13434,234,44
439,14942,242,49
440,43614,414,144
441,36714,414,121
442,24676,376,81
443,15848,248,52
444,82248,648,272
445,91898,698,304
446,33124,424,109
447,39412,412,130
448,5572,172,18
449,27642,342,91
450,39092,392,129
451,29162,362,96
452,20380,280,67
453,5336,236,17
454,76534,634,253
455,83146,646,275
456,83750,650,277
457,23478,378,77
458,61476,576,203
459,39760,460,131
460,27358,358,90
461,13426,226,44
462,17960,260,59
463,17736,336,58
464,33972,372,112
465,20390,290,67
466,132842,842,440
467,41842,442,138
468,44524,424,147
469,30662,362,101
470,62050,550,205
471,11350,250,37
472,47598,498,157
473,12570,270,41
474,26158,358,86
475,12818,218,42
476,14658,258,48
477,147000,900,487
478,29510,410,97
479,56890,490,188
480,21850,250,72
481,37002,402,122
482,18562,262,61
483,58750,550,194
484,10144,244,33
485,6846,246,22
486,25212,312,83
487,33664,364,111
488,58136,536,192
489,15246,246,50
490,44244,444,146
491,25812,312,85
492,29450,350,97
493,25844,344,85
494,20982,282,69
495,83442,642,276
496,54176,476,179
497,9756,156,32
498,39742,442,131
499,24050,350,79
500,52100,500,172
501,54514,514,180
502,32818,418,108
503,21940,340,72
504,6444,144,21
505,16692,192,55
506,11328,228,37
507,68088,588,225
508,34616,416,114
509,4058,158,13
510,22518,318,74
511,17068,268,56
512,67468,568,223
513,58706,506,194
514,20714,314,68
515,50872,472,168
516,27614,314,91
517,47872,472,158
518,14874,174,49
519,36112,412,119
520,13108,208,43
521,51784,484,171
522,56326,526,186
523,18608,308,61
524,47274,474,156
525,13406,206,44
526,11332,232,37
527,10734,234,35
528,27674,374,91
529,43674,474,144
530,65064,564,215
531,57552,552,190
532,28598,398,94
533,28288,388,93
534,5504,104,18
535,29466,366,97
536,47888,488,158
537,24874,274,82
538,16718,218,55
539,44256,456,146
540,14060,260,46
541,16494,294,54
542,22196,296,73
543,16502,302,54
544,22158,258,73
545,28854,354,95
546,31590,390,104
547,37610,410,124
548,56614,514,187
549,18576,276,61
550,11060,260,36
551,23704,304,78
552,25876,376,85
553,10412,212,34
554,49704,504,164
555,23734,334,78
556,20032,232,66
557,19528,328,64
558,8040,240,26
559,43314,414,143
560,4940,140,16
561,14978,278,49
562,16164,264,53
563,41816,416,138
564,12216,216,40
565,46342,442,153
566,65916,516,218
567,14074,274,46
568,19778,278,65
569,8084,284,26
570,42730,430,141
571,23134,334,76
572,21618,318,71
573,24036,336,79
574,25864,364,85
575,17404,304,57
576,14948,248,49
577,35494,394,117
578,28262,362,93
579,37914,414,125
580,23726,326,78
581,71666,566,237
582,9468,168,31
583,10152,252,33
584,29494,394,97
585,23102,302,76
586,17394,294,57
587,10946,146,36
588,37920,420,125
589,15878,278,52
590,34004,404,112
591,4358,158,14
592,41850,450,138
593,53014,514,175
594,35784,384,118
595,10124,224,33
596,3438,138,11
597,62032,532,205
598,18598,298,61
599,25548,348,84
600,115656,756,383
601,22234,334,73
602,23378,278,77
603,6492,192,21
604,19454,254,64
605,13458,258,44
606,40054,454,132
607,28846,346,95
608,10990,190,36
609,35492,392,117
610,11626,226,38
611,28276,376,93
612,28308,408,93
613,21568,268,71
614,41284,484,136
615,31602,402,104
616,15318,318,50
617,48780,480,161
618,21244,244,70
619,44226,426,146
620,78348,648,259
621,23750,350,78
622,27634,334,91
623,38230,430,126
624,34934,434,115
625,24004,304,79
626,41538,438,137
627,17332,232,57
628,22542,342,74
629,39446,446,130
630,44224,424,146
631,44290,490,146
632,33102,402,109
633,14972,272,49
634,40954,454,135
635,69000,600,228
636,22800,300,75
637,35502,402,117
638,36112,412,119
639,24080,380,79
640,35790,390,118
641,27940,340,92
642,10670,170,35
643,37920,420,125
644,68690,590,227
645,18558,258,61
646,11622,222,38
647,23724,324,78
648,30976,376,102
649,54214,514,179
650,19812,312,65
651,30990,390,102
652,50268,468,166
653,12838,238,42
654,50910,510,168
655,73168,568,242
656,76528,628,253
657,46366,466,153
658,8322,222,27
659,62688,588,207
660,5578,178,18
661,14014,214,46
662,43932,432,145
663,14976,276,49
